DATE,DAY,TMIN,year,month
1919-09-29,29,-4.214288167776072,1919,9
1919-10-12,12,-6.914288167776072,1919,10
1919-11-11,11,-10.814288167776072,1919,11
1919-12-11,11,-10.514288167776073,1919,12
1920-01-06,6,-10.914288167776071,1920,1
1920-02-23,23,-7.814288167776072,1920,2
1920-03-08,8,-6.814288167776072,1920,3
1920-04-22,22,-4.114288167776072,1920,4
1920-05-05,5,-4.514288167776072,1920,5
1920-06-08,8,-0.8142881677760716,1920,6
1920-07-28,28,1.1857118322239284,1920,7
1920-08-31,31,0.8857118322239286,1920,8
1920-09-11,11,-0.41428816777607214,1920,9
1920-10-30,30,-7.214288167776072,1920,10
1920-11-22,22,-11.814288167776072,1920,11
1920-12-16,16,-16.814288167776073,1920,12
1921-01-15,15,-10.314288167776072,1921,1
1921-02-11,11,-11.014288167776073,1921,2
1921-03-03,3,-8.214288167776072,1921,3
1921-04-16,16,-8.814288167776072,1921,4
1921-05-04,4,-6.014288167776072,1921,5
1921-06-15,15,-0.01428816777607178,1921,6
1921-07-03,3,-1.1142881677760714,1921,7
1921-08-31,31,0.28571183222392804,1921,8
1921-09-29,29,-3.614288167776072,1921,9
1921-10-25,25,-7.114288167776072,1921,10
1921-11-30,30,-16.714288167776072,1921,11
1921-12-05,5,-18.11428816777607,1921,12
1922-01-24,24,-16.41428816777607,1922,1
1922-02-05,5,-17.514288167776073,1922,2
1922-03-23,23,-9.814288167776072,1922,3
1922-04-02,2,-9.414288167776071,1922,4
1922-05-14,14,-6.014288167776072,1922,5
1922-06-18,18,-1.3142881677760716,1922,6
1922-07-28,28,2.085711832223928,1922,7
1922-08-16,16,1.1857118322239284,1922,8
1922-09-18,18,-2.214288167776072,1922,9
1922-10-26,26,-11.214288167776072,1922,10
1922-11-14,14,-8.914288167776071,1922,11
1922-12-09,9,-8.914288167776071,1922,12
1923-01-18,18,-10.714288167776072,1923,1
1923-02-18,18,-10.514288167776073,1923,2
1923-03-19,19,-6.714288167776072,1923,3
1923-04-09,9,-7.414288167776071,1923,4
1923-05-25,25,-4.714288167776072,1923,5
1923-06-07,7,-2.714288167776072,1923,6
1923-07-02,2,0.3857118322239286,1923,7
1923-08-31,31,0.785711832223928,1923,8
1923-09-03,3,-0.8142881677760716,1923,9
1923-10-16,16,-3.9142881677760717,1923,10
1923-11-27,27,-10.914288167776071,1923,11
1923-12-31,31,-16.61428816777607,1923,12
1924-01-05,5,-13.314288167776072,1924,1
