time,observed,lower,median,upper,truth
346,28.89281868706612,26.918834808898897,27.01911138997761,27.133097443902752,27.07600000000008
347,27.583206883677057,26.925895710003733,27.032597673848226,27.13855482427024,27.08200000000008
348,26.70058525860505,26.932864524191956,27.03943405229008,27.15076771327672,27.08800000000008
349,30.273496925867374,26.964958125091364,27.05593635117114,27.172787578158033,27.09400000000008
350,26.877232539907247,26.99728859669184,27.08051000518314,27.212101581891524,27.10000000000008
351,26.59103706931136,26.99999571896369,27.07573305490053,27.187199733572616,27.10600000000008
352,28.076991363674686,27.014468544578605,27.088267875826816,27.20072659039598,27.11200000000008
353,26.31653527796897,27.014044557416735,27.088506737887148,27.193078962381705,27.11800000000008
354,29.6259204274138,27.010146485478682,27.087657764117896,27.203439984621166,27.12400000000008
355,28.37720456573149,27.006579891851107,27.086632721407895,27.194738278589437,27.13000000000008
356,27.198720159259477,26.984796438806537,27.100213872530475,27.220017892198342,27.13600000000008
357,27.597209347886853,27.03945834852748,27.122982892704762,27.25272049935378,27.14200000000008
358,29.03417054608108,27.023450795280173,27.135816858690564,27.289914485574194,27.14800000000008
359,27.91894588159852,27.066708849877166,27.154014387465253,27.29607957885636,27.15400000000008
360,30.55043989214439,27.072048644101717,27.153826432373336,27.29816422893316,27.16000000000008
361,26.565490373847997,27.077376497772203,27.154572051337702,27.283547723677227,27.16600000000008
362,27.168028736095188,27.076785943417395,27.160973250558694,27.299999014439194,27.17200000000008
363,26.86111180406464,27.090193905224307,27.168063864442296,27.287094842427233,27.178000000000083
364,27.578097958858205,27.094680390149907,27.173396522495764,27.306280515566353,27.184000000000083
365,29.35145851295155,27.080083211323867,27.167411552537146,27.29268242231598,27.190000000000083
366,27.5032195041667,27.09489402970437,27.177987337104312,27.310742227833234,27.196000000000083
367,25.84460005446418,27.11297199893661,27.193868852717294,27.333970095081302,27.202000000000083
368,25.829746230973125,27.07467429270154,27.178713800550945,27.302565405389252,27.208000000000084
369,30.30958900237136,27.082704398033258,27.185306906474906,27.30485035337273,27.214000000000084
370,28.042070177640323,27.111776965034085,27.189465554454287,27.30495081585463,27.220000000000084
371,28.753058460617844,27.108980514105795,27.190926008628274,27.299277788057577,27.226000000000084
