tag,model,q_true,rep,param,mean,sd,ess,tau_int,mcse
T500_P12_sig2.0_q1e-04_rep2,PC,0.0001,2,sigma,1.968893989329151,0.06360377093532658,359.30339350570307,2.783163248871813,0.0033554610763787416
T500_P12_sig2.0_q1e-04_rep2,PC,0.0001,2,Q_alpha(log10),0.0002522751881289953,0.00018554105888844103,7.258235801375312,137.77452639531455,0.10955459791175041
T500_P12_sig2.0_q1e-04_rep2,PC,0.0001,2,lambda_alpha,1.9730833546904527,1.3957947691398727,1000.0,1.0,0.04413890616630899
T500_P12_sig2.0_q1e-04_rep3,IG,0.0001,3,sigma,1.96200494070176,0.06286996390143931,1000.0,1.0,0.0019881228234111398
T500_P12_sig2.0_q1e-04_rep3,IG,0.0001,3,Q_alpha(log10),0.003170012648094981,0.0012049104644537851,36.7245980748772,27.229705767265738,0.026062836888673842
T500_P12_sig2.0_q1e-04_rep3,PC,0.0001,3,sigma,1.968893989329151,0.06360377093532658,359.30339350570307,2.783163248871813,0.0033554610763787416
T500_P12_sig2.0_q1e-04_rep3,PC,0.0001,3,Q_alpha(log10),0.0002522751881289953,0.00018554105888844103,7.258235801375312,137.77452639531455,0.10955459791175041
T500_P12_sig2.0_q1e-04_rep3,PC,0.0001,3,lambda_alpha,1.9730833546904527,1.3957947691398727,1000.0,1.0,0.04413890616630899
T500_P12_sig2.0_q1e-06_rep1,IG,1e-06,1,sigma,1.963461479361606,0.06296001202101958,1000.0,1.0,0.001990970394980028
T500_P12_sig2.0_q1e-06_rep1,IG,1e-06,1,Q_alpha(log10),0.003142128930406948,0.0012040840494480956,36.20069483170203,27.623779174654683,0.02645346031615186
T500_P12_sig2.0_q1e-06_rep1,PC,1e-06,1,sigma,1.9756073956045699,0.06465965119970853,250.42481535642924,3.9932144846616002,0.004085965321954157
T500_P12_sig2.0_q1e-06_rep1,PC,1e-06,1,Q_alpha(log10),2.004197770473291e-06,1.1266239047295904e-06,7.436097002918288,134.47914942577418,0.09508850209801228
T500_P12_sig2.0_q1e-06_rep1,PC,1e-06,1,lambda_alpha,2.0000994016063998,1.4161112966591913,1000.0,1.0,0.04478137117737437
